category_id_placeholder,category_guid,name,parent_category_id_placeholder,description
1,cat-5e2de2ea,Electronics & Computers,0,Discover the latest tech innovations and computing powerhouses to upgrade your digital lifestyle.
1,cat-09e8dbb7,"Movies, Music & Games (Physical)",0,"Dive into a world of nostalgia and entertainment with our collection of physical movies, music, and games."
1,cat-f49f60d3,Furniture & Decor,0,"Elevate your space with our curated collection of stylish furniture and decor, where every piece tells a story."
1,cat-2fefc4f6,Sports & Outdoors,0,"Dive into adventure with our Sports & Outdoors gear, designed to elevate your active lifestyle."
1,cat-63b0c51f,"Movies, Music & Games (Physical)",0,"Immerse yourself in a world of entertainment with our vast collection of physical movies, music, and games."
1,cat-9caa1efa,Industrial & Scientific Supplies,0,"Empower your innovations with our comprehensive range of Industrial & Scientific Supplies, designed to elevate your projects from concept to completion."
1,cat-c219a011,"Movies, Music & Games (Physical)",0,"Immerse yourself in your favorite worlds with our vast collection of physical movies, music, and games."
1,cat-0eb026d0,Motorcycle & Powersports,0,"Rev up your adventures with our thrilling range of motorcycles and powersports vehicles, designed for the ultimate ride."
1,cat-f3b4837f,Automotive Parts & Accessories,0,"Rev up your ride with our extensive range of Automotive Parts & Accessories, designed to enhance performance, style, and safety."
1,cat-2e15a29a,Automotive Parts & Accessories,0,"Rev up your ride with our extensive range of Automotive Parts & Accessories, designed to enhance performance, style, and safety."
1,cat-5656b811,Industrial & Scientific Supplies,0,"Empower your projects with top-quality Industrial & Scientific Supplies, from lab equipment to precision tools."
1,cat-5289454d,Video Games & Consoles (Digital),0,"Dive into a world of digital adventures with our vast collection of video games and consoles, all ready to be downloaded and played instantly."
1,cat-80f76e5f,Fitness & Exercise Equipment,0,"Transform your space into a personal gym with our wide range of Fitness & Exercise Equipment, designed to help you achieve your wellness goals at home."
1,cat-678a5677,Handmade & Artisanal Products,0,"Discover unique, handcrafted treasures that tell a story, supporting artisans and adding personality to your space."
1,cat-06028f06,Fitness & Exercise Equipment,0,"Elevate your workouts at home with our extensive range of fitness and exercise equipment, designed to help you stay active and achieve your fitness goals."
1,cat-143a444e,Party Supplies & Decorations,0,"Transform any gathering into a memorable event with our vibrant Party Supplies & Decorations, designed to add a touch of fun and style to your celebrations."
1,cat-96d4d04d,"Home, Garden & Tools",0,"Transform your space with our curated collection of home decor, gardening essentials, and high-quality tools."
1,cat-71d85dde,Collectibles & Fine Art,0,Immerse yourself in history and beauty with our curated collection of rare artifacts and exquisite artwork.
1,cat-373733a2,"Crafts, Sewing & Hobby",0,"Unleash your creativity with our vast array of supplies for knitting, crocheting, sewing, painting, and other artistic pursuits!"
1,cat-65096996,Electronics & Computers,0,Upgrade your digital world with the latest gadgets and high-performance computers from our Electronics & Computers category.
1,cat-db001b26,Toys & Board Games,0,Dive into a world of fun and excitement with our vast selection of toys and board games designed for endless hours of entertainment!
1,cat-9800f989,"Health, Household & Baby Care",0,"Nurture your family's well-being with our comprehensive range of health essentials, household solutions, and baby care products."
1,cat-4baa47a8,Musical Instruments,0,"Unleash your inner maestro with our wide range of musical instruments, perfect for beginners and professionals alike."
1,cat-86da11ca,Industrial & Scientific Supplies,0,"Empower your projects with our comprehensive range of Industrial & Scientific Supplies, designed to meet the demands of professionals seeking precision and reliability."
1,cat-03e09707,Collectibles & Fine Art,0,Discover unique treasures and timeless masterpieces that tell stories and add character to your space.
1,cat-c9996c8c,Beauty & Personal Care,0,Elevate your self-care routine with our curated selection of Beauty & Personal Care products.
1,cat-bd912eda,Musical Instruments,0,Unleash your inner musician with our wide range of high-quality instruments.
1,cat-2f3c9bc6,Beauty & Personal Care,0,"Elevate your self-care routine with our range of premium beauty and personal care products, designed to help you look and feel your best."
1,cat-413c80ba,Motorcycle & Powersports,0,"Rev your engines and hit the open road with our thrilling range of motorcycles, ATVs, and powersports gear."
1,cat-784d1139,Pet Supplies,0,"Indulge your furry friends with our extensive range of Pet Supplies, designed to keep them happy, healthy, and entertained."
