category_id_placeholder,category_guid,name,parent_category_id_placeholder,description
1,cat-a36a6b77,Fashion & Apparel - Women,0,"Discover the latest trends in women's fashion, from chic everyday wear to glamorous evening pieces."
1,cat-fe5c4801,"Movies, Music & Games (Physical)",0,"Immerse yourself in the ultimate entertainment collection with our wide range of physical movies, music, and games."
1,cat-9dfe280f,"Crafts, Sewing & Hobby",0,"Unleash your creativity with our vast range of supplies for crafting, sewing, and hobby projects."
1,cat-ee12ceba,Furniture & Decor,0,"Transform your space with our curated collection of stylish furniture and decor, designed to inspire and elevate your home."
1,cat-c11223ab,Party Supplies & Decorations,0,"Transform your celebrations with our vibrant Party Supplies & Decorations, ensuring every event is unforgettable!"
1,cat-2aa9d773,Beauty & Personal Care,0,"Discover your best self with our range of Beauty & Personal Care products, designed to pamper, protect, and perfect."
1,cat-386700e0,Industrial & Scientific Supplies,0,"Empower your projects with top-tier Industrial & Scientific Supplies, where precision meets durability for unmatched results."
1,cat-01c734c5,"Home, Garden & Tools",0,"Transform your space with our curated collection of furniture, decor, plants, and tools for every home and garden project."
1,cat-ff0e3763,Furniture & Decor,0,Transform your space into a stylish sanctuary with our curated collection of Furniture & Decor.
1,cat-a76ca846,"Movies, Music & Games (Physical)",0,"Dive into our collection of Movies, Music & Games (Physical) for a tangible entertainment experience."
1,cat-000b6b0e,Pet Supplies,0,"Find everything your furry friend needs to thrive, from cozy beds to delicious treats, all in one paw-some place!"
1,cat-f828da20,Sports & Outdoors,0,"Unleash your adventure with our Sports & Outdoors gear, designed to fuel your active lifestyle and explore the great outdoors."
1,cat-70ccd245,Fashion & Apparel - Men,0,"Elevate your style with our curated collection of men's fashion, featuring the latest trends in clothing and accessories for every occasion."
1,cat-b9c6393d,Motorcycle & Powersports,0,"Rev up your adventure with our thrilling range of motorcycles and powersports vehicles, designed for both on and off-road excitement."
1,cat-9ef355bd,Handmade & Artisanal Products,0,"Experience the unique charm of our Handmade & Artisanal Products, where every piece tells a story of craftsmanship and creativity."
1,cat-9e4ce2de,Fashion & Apparel - Kids & Baby,0,"Explore our world of whimsy and comfort with the latest trends in kids' and baby fashion, ensuring your little ones look adorable and feel great!"
1,cat-92029772,Fashion & Apparel - Kids & Baby,0,Discover the cutest trends and essentials for your little one's wardrobe.
1,cat-873eaa28,"Crafts, Sewing & Hobby",0,"Unleash your creativity with our wide range of supplies for crafts, sewing, and hobby projects."
1,cat-529cc8a4,"Movies, Music & Games (Physical)",0,"Dive into a world of entertainment with our vast collection of movies, music, and games on physical media, perfect for collectors and enthusiasts alike."
1,cat-24960ad1,Software,0,"Unlock digital possibilities with our cutting-edge software solutions, designed to empower your productivity and innovation."
1,cat-b4d8b7f0,Luggage & Travel Gear,0,"Embark on your next adventure with our durable, stylish, and innovative luggage and travel gear designed to make journeys smooth and hassle-free."
1,cat-8d843e00,Grocery & Gourmet Food,0,"Indulge in a world of flavors with our curated selection of gourmet delights and everyday essentials, all delivered right to your doorstep."
1,cat-b36ea2d0,Antiques & Vintage Items,0,"Step back in time with our curated collection of Antiques & Vintage Items, each a unique piece of history waiting to add character and charm to your space."
1,cat-697f6259,Motorcycle & Powersports,0,"Rev your adventure with our extensive collection of motorcycles, ATVs, and powersports gear, designed for thrill-seekers and off-road enthusiasts alike."
1,cat-4acf8396,Motorcycle & Powersports,0,"Rev up your adventure with our thrilling selection of motorcycles, ATVs, and more."
1,cat-241ab5a6,"Crafts, Sewing & Hobby",0,"Unleash your creativity with our vast selection of crafts, sewing supplies, and hobby essentials."
1,cat-a310c319,Grocery & Gourmet Food,0,"Indulge in the finest flavours from around the world, delivered straight to your doorstep."
1,cat-9739a448,Musical Instruments,0,Unleash your inner musician with our vast collection of high-quality musical instruments.
1,cat-02c0b22d,Antiques & Vintage Items,0,"Step into the past with our curated collection of Antiques & Vintage Items, where history and charm meet timeless elegance."
1,cat-1cfe709f,"Movies, Music & Games (Physical)",0,"Immerse yourself in a world of entertainment with our collection of physical movies, music, and games, perfect for the ultimate home experience."
