product_id_placeholder,product_guid,user_guid_fk,user_id_placeholder_fk,category_id_placeholder_fk,condition,original_price,is_active,created_at,category_guid_fk,updated_at,title,description
1,prod-7138ac15,usr-075438cc,1,1,good,1074.4253349959556,True,2023-04-19,cat-f6f1009a,2023-04-19,Wireless Charging Pad for Smartphones,"Experience the convenience of cord-free charging with our Wireless Charging Pad, designed for smartphones. This sleek, efficient pad offers fast charging up to 10W, compatible with Qi-enabled devices."
1,prod-3e8d8842,usr-7914ca72,1,1,new,1052.9612229503816,True,2023-08-30,cat-6bbd236e,2023-08-30,"""Giant Inflatable Unicorn Piñata for Kids Birthday Party""","Make every birthday a magical celebration with our Giant Inflatable Unicorn Piñata, a whimsical centerpiece that will delight kids and adults alike, and is perfect for indoor and outdoor parties."
1,prod-03bdd4eb,usr-b906ebde,1,1,poor,719.1364080632816,True,2023-02-05,cat-bbe34b7d,2023-02-05,Vintage Solid Wood Cat Tree with Sisal Scratching Posts,"The Vintage Solid Wood Cat Tree with Sisal Scratching Posts offers a classic design with three levels of fun, featuring natural sisal posts for satisfying scratching and sturdy wood construction for durability."
1,prod-aa2db884,usr-b51322ee,1,1,poor,853.2871084899068,True,2023-02-07,cat-9b11e9f6,2023-02-07,Vintage Art Deco Brass Candlestick,"Elegantly aged, this Vintage Art Deco Brass Candlestick features intricate detailing and a warm patina, adding a touch of 1920's glamour to your space."
1,prod-1ec8134f,usr-a1781274,1,1,fair,1366.1324034638835,True,2023-11-03,cat-b273dcd0,2023-11-03,Vintage Art Deco Brass Candle Holder,"Elevate your space with this Vintage Art Deco Brass Candle Holder, a timeless piece featuring intricate detailing and a warm, aged patina that adds a touch of old-world charm to any room."
1,prod-b0484d6a,usr-b6e3ac3f,1,1,fair,7.44643177326655,True,2023-05-02,cat-42d18de1,2023-05-02,Vintage 1950s Cat Poster Print - Retro Cat Art,"Bring a touch of retro charm to your space with this vintage 1950s Cat Poster Print. The retro cat art captures the whimsical spirit of mid-century design, making it a unique and eye-catching addition to any room."
1,prod-85def1a6,usr-2dea68c0,1,1,poor,784.6681636425552,True,2023-12-20,cat-42d18de1,2023-12-20,Vintage 1960s Cat Poster - Retro Art Print,"Capture the charm of the 60s with this 'Vintage 1960s Cat Poster - Retro Art Print', a delightful addition to your space. This original art print showcases a playful cat design, offering a nostalgic touch of retro art."
1,prod-4ec5a124,usr-a24e3ea8,1,1,fair,1392.535080773299,False,2023-10-08,cat-761dc998,2023-10-08,Vintage Art Nouveau Brass Candle Holder,"Elevate your space with this timeless Vintage Art Nouveau Brass Candle Holder, featuring an intricate, flowing design that casts a warm, nostalgic glow. Crafted from solid brass, this elegant piece is a stunning blend of art and functionality, perfect for adding a touch of vintage charm to any room."
1,prod-37ee069a,usr-a24e3ea8,1,1,new,526.6456442977083,False,2023-12-05,cat-cb073c2a,2023-12-05,'Stainless Steel 12-Piece Knife Set with Block',"Experience precision and durability with our Stainless Steel 12-Piece Knife Set with Block, featuring a sleek design and essential knives for all your kitchen tasks."
1,prod-c3f00512,usr-0b427144,1,1,like_new,940.433361551863,False,2023-02-28,cat-c780a612,2023-02-28,"""16GB DDR4 3200MHz Desktop RAM""","Upgrade your desktop's performance with this 16GB DDR4 3200MHz RAM, offering faster data transfer rates and smoother multitasking for an enhanced computing experience."
